,close,high,low,open,time,volumefrom,volumeto
0,0.0,0.0,0.0,0.0,2013-01-16,0.0,0.0
1,0.0,0.0,0.0,0.0,2013-01-17,0.0,0.0
2,0.0,0.0,0.0,0.0,2013-01-18,0.0,0.0
3,0.0,0.0,0.0,0.0,2013-01-19,0.0,0.0
4,0.0,0.0,0.0,0.0,2013-01-20,0.0,0.0
5,0.0,0.0,0.0,0.0,2013-01-21,0.0,0.0
6,0.0,0.0,0.0,0.0,2013-01-22,0.0,0.0
7,0.0,0.0,0.0,0.0,2013-01-23,0.0,0.0
8,0.0,0.0,0.0,0.0,2013-01-24,0.0,0.0
9,0.0,0.0,0.0,0.0,2013-01-25,0.0,0.0
10,0.0,0.0,0.0,0.0,2013-01-26,0.0,0.0
11,0.0,0.0,0.0,0.0,2013-01-27,0.0,0.0
12,0.0,0.0,0.0,0.0,2013-01-28,0.0,0.0
13,0.0,0.0,0.0,0.0,2013-01-29,0.0,0.0
14,0.0,0.0,0.0,0.0,2013-01-30,0.0,0.0
15,0.0,0.0,0.0,0.0,2013-01-31,0.0,0.0
16,0.0,0.0,0.0,0.0,2013-02-01,0.0,0.0
17,0.0,0.0,0.0,0.0,2013-02-02,0.0,0.0
18,0.0,0.0,0.0,0.0,2013-02-03,0.0,0.0
19,0.0,0.0,0.0,0.0,2013-02-04,0.0,0.0
20,0.0,0.0,0.0,0.0,2013-02-05,0.0,0.0
21,0.0,0.0,0.0,0.0,2013-02-06,0.0,0.0
22,0.0,0.0,0.0,0.0,2013-02-07,0.0,0.0
23,0.0,0.0,0.0,0.0,2013-02-08,0.0,0.0
24,0.0,0.0,0.0,0.0,2013-02-09,0.0,0.0
25,0.0,0.0,0.0,0.0,2013-02-10,0.0,0.0
26,0.0,0.0,0.0,0.0,2013-02-11,0.0,0.0
27,0.0,0.0,0.0,0.0,2013-02-12,0.0,0.0
28,0.0,0.0,0.0,0.0,2013-02-13,0.0,0.0
29,0.0,0.0,0.0,0.0,2013-02-14,0.0,0.0
30,0.0,0.0,0.0,0.0,2013-02-15,0.0,0.0
31,0.0,0.0,0.0,0.0,2013-02-16,0.0,0.0
32,0.0,0.0,0.0,0.0,2013-02-17,0.0,0.0
33,0.0,0.0,0.0,0.0,2013-02-18,0.0,0.0
34,0.0,0.0,0.0,0.0,2013-02-19,0.0,0.0
35,0.0,0.0,0.0,0.0,2013-02-20,0.0,0.0
36,0.0,0.0,0.0,0.0,2013-02-21,0.0,0.0
37,0.0,0.0,0.0,0.0,2013-02-22,0.0,0.0
38,0.0,0.0,0.0,0.0,2013-02-23,0.0,0.0
39,0.0,0.0,0.0,0.0,2013-02-24,0.0,0.0
40,0.0,0.0,0.0,0.0,2013-02-25,0.0,0.0
41,0.0,0.0,0.0,0.0,2013-02-26,0.0,0.0
42,0.0,0.0,0.0,0.0,2013-02-27,0.0,0.0
43,0.0,0.0,0.0,0.0,2013-02-28,0.0,0.0
44,0.0,0.0,0.0,0.0,2013-03-01,0.0,0.0
45,0.0,0.0,0.0,0.0,2013-03-02,0.0,0.0
46,0.0,0.0,0.0,0.0,2013-03-03,0.0,0.0
47,0.0,0.0,0.0,0.0,2013-03-04,0.0,0.0
48,0.0,0.0,0.0,0.0,2013-03-05,0.0,0.0
49,0.0,0.0,0.0,0.0,2013-03-06,0.0,0.0
50,0.0,0.0,0.0,0.0,2013-03-07,0.0,0.0
51,0.0,0.0,0.0,0.0,2013-03-08,0.0,0.0
52,0.0,0.0,0.0,0.0,2013-03-09,0.0,0.0
53,0.0,0.0,0.0,0.0,2013-03-10,0.0,0.0
54,0.0,0.0,0.0,0.0,2013-03-11,0.0,0.0
55,0.0,0.0,0.0,0.0,2013-03-12,0.0,0.0
56,0.0,0.0,0.0,0.0,2013-03-13,0.0,0.0
57,0.0,0.0,0.0,0.0,2013-03-14,0.0,0.0
58,0.0,0.0,0.0,0.0,2013-03-15,0.0,0.0
59,0.0,0.0,0.0,0.0,2013-03-16,0.0,0.0
60,0.0,0.0,0.0,0.0,2013-03-17,0.0,0.0
61,0.0,0.0,0.0,0.0,2013-03-18,0.0,0.0
62,0.0,0.0,0.0,0.0,2013-03-19,0.0,0.0
63,0.0,0.0,0.0,0.0,2013-03-20,0.0,0.0
64,0.0,0.0,0.0,0.0,2013-03-21,0.0,0.0
65,0.0,0.0,0.0,0.0,2013-03-22,0.0,0.0
66,0.0,0.0,0.0,0.0,2013-03-23,0.0,0.0
67,0.0,0.0,0.0,0.0,2013-03-24,0.0,0.0
68,0.0,0.0,0.0,0.0,2013-03-25,0.0,0.0
69,0.0,0.0,0.0,0.0,2013-03-26,0.0,0.0
70,0.0,0.0,0.0,0.0,2013-03-27,0.0,0.0
71,0.0,0.0,0.0,0.0,2013-03-28,0.0,0.0
72,0.0,0.0,0.0,0.0,2013-03-29,0.0,0.0
73,0.0,0.0,0.0,0.0,2013-03-30,0.0,0.0
74,0.0,0.0,0.0,0.0,2013-03-31,0.0,0.0
75,0.0,0.0,0.0,0.0,2013-04-01,0.0,0.0
76,0.0,0.0,0.0,0.0,2013-04-02,0.0,0.0
77,0.0,0.0,0.0,0.0,2013-04-03,0.0,0.0
78,0.0,0.0,0.0,0.0,2013-04-04,0.0,0.0
79,0.0,0.0,0.0,0.0,2013-04-05,0.0,0.0
80,0.0,0.0,0.0,0.0,2013-04-06,0.0,0.0
81,0.0,0.0,0.0,0.0,2013-04-07,0.0,0.0
82,0.0,0.0,0.0,0.0,2013-04-08,0.0,0.0
83,0.0,0.0,0.0,0.0,2013-04-09,0.0,0.0
84,0.0,0.0,0.0,0.0,2013-04-10,0.0,0.0
85,0.0,0.0,0.0,0.0,2013-04-11,0.0,0.0
86,0.0,0.0,0.0,0.0,2013-04-12,0.0,0.0
87,0.0,0.0,0.0,0.0,2013-04-13,0.0,0.0
88,0.0,0.0,0.0,0.0,2013-04-14,0.0,0.0
89,0.0,0.0,0.0,0.0,2013-04-15,0.0,0.0
90,0.0,0.0,0.0,0.0,2013-04-16,0.0,0.0
91,0.0,0.0,0.0,0.0,2013-04-17,0.0,0.0
92,0.0,0.0,0.0,0.0,2013-04-18,0.0,0.0
93,0.0,0.0,0.0,0.0,2013-04-19,0.0,0.0
94,0.0,0.0,0.0,0.0,2013-04-20,0.0,0.0
95,0.0,0.0,0.0,0.0,2013-04-21,0.0,0.0
